episode,reward
6800,0.04210469314079422
6900,0.04371825262444971
7000,0.04195976413458203
7100,0.03930493273542601
7200,0.04407636363636364
7300,0.04150166112956811
7400,0.04384957264957265
7500,0.044034722222222225
7600,0.04370845921450151
7700,0.03966643975493533
7800,0.041817536386226484
7900,0.04274336283185841
8000,0.04375128468653649
8100,0.04189285714285714
8200,0.043985254171517274
8300,0.044117017481270074
8400,0.043963963963963966
8500,0.040244428468727535
8600,0.04332734459216673
8700,0.042655485674353594
8800,0.044238237490664675
8900,0.04155969404722314
9000,0.04023889511011572
9100,0.04249714067861227
9200,0.0434061741241762
9300,0.04243630017452007
9400,0.0441077085533263
9500,0.04208662662029719
9600,0.041679174484052534
9700,0.042854700854700854
9800,0.041014074341393
9900,0.04509020162716661
10000,0.04118488253319714
10100,0.04313949579831933
10200,0.044144112478031634
10300,0.042786944045911046
10400,0.04241061946902655
10500,0.03944249512670566
10600,0.04392224921902117
10700,0.041196155215379136
10800,0.0434544184421935
10900,0.04410228509249184
11000,0.04217343578485181
11100,0.04313973351554493
11200,0.04182711864406779
11300,0.04128671328671329
11400,0.04063380281690141
11500,0.04161576704545455
11600,0.039558370421088666
11700,0.042705503931379556
11800,0.04251587861679605
11900,0.040092556883918246
12000,0.042405643738977074
12100,0.04049400653832183
12200,0.042015582655826555
12300,0.04205759888965996
12400,0.042211037834085384
12500,0.044061289186333216
12600,0.04383534136546184
12700,0.0425974025974026
12800,0.04087264150943396
12900,0.04065703474372205
13000,0.04017979144192737
13100,0.04052894211576847
13200,0.04626518942101502
13300,0.04215560794880431
13400,0.0415512674990541
13500,0.042444192205826715
13600,0.04405326523166728
13700,0.043065531284709364
13800,0.04164998146088246
13900,0.04223954372623574
14000,0.04518946948544077
14100,0.044227045075125204
14200,0.044638183217859895
14300,0.04234525182622068
14400,0.04699814471243043
14500,0.044451840250587314
14600,0.044502314814814814
14700,0.046911554921540664
14800,0.042282970077576656
14900,0.043688394276629565
15000,0.04372074882995319
15100,0.045038845726970034
15200,0.04438988640527666
15300,0.04602979515828678
15400,0.04656993006993007
15500,0.044079200307574014
15600,0.046013191645291315
15700,0.04552486187845304
15800,0.04184302733006307
15900,0.04472091194968554
16000,0.047225097024579554
16100,0.04491556534508076
16200,0.04091166077738516
16300,0.04546478873239436
16400,0.04301916308173641
16500,0.042533232054690465
16600,0.03936223575779291
16700,0.04303019145802651
16800,0.04419354838709678
16900,0.043305022156573114
17000,0.04322649572649572
17100,0.04427231677665856
17200,0.04423133776792313
17300,0.0475399129172714
17400,0.04231441048034935
17500,0.04694029850746269
17600,0.04598990683229814
17700,0.04268358714043993
17800,0.045746753246753244
17900,0.04539346029464607
18000,0.0483132530120482
18100,0.04417810630059838
18200,0.04315381635025184
18300,0.047061325771003186
18400,0.04377986682334509
18500,0.04459694088466308
18600,0.04104483141904409
18700,0.04684559079818752
18800,0.0441066562864928
18900,0.04434651600753296
19000,0.040086805555555556
19100,0.045209125475285175
19200,0.04518672199170125
19300,0.04213414634146342
19400,0.044462715105162524
19500,0.043416635583737415
19600,0.047300275482093666
19700,0.04334982332155477
19800,0.04607473035439138
19900,0.046050290135396514
